;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
161;1984-06-24;Fecha 13;Boca;1;River;1;River Plate;L;partido/boca-1-river-1-torneo-metropolitano-1984/2044/1984/43/12.html;Torneo Metropolitano 1984
162;1984-11-11;Fecha 32;River;4;Boca;1;River Plate;V;partido/river-4-boca-1-torneo-metropolitano-1984/2062/1984/43/28.html;Torneo Metropolitano 1984
163;1985-10-27;Fecha 17;River;1;Boca;0;River Plate;V;partido/river-1-boca-0-temporada-1985-86/2102/1986/28/16.html;Temporada 1985 86
164;1986-04-06;Fecha 36;Boca;0;River;2;Boca Juniors;L;partido/boca-0-river-2-temporada-1985-86/2121/1986/28/34.html;Temporada 1985 86
165;1986-07-09;Primera Fase. Partido 1;Boca;1;River;1;Boca Juniors;L;partido/boca-1-river-1-copa-libertadores-1986/2132/1986/104/1.html;Libertadores 1986
166;1986-08-20;Primera Fase. Partido 6;River;1;Boca;0;River Plate;V;partido/river-1-boca-0-copa-libertadores-1986/2137/1986/104/6.html;Libertadores 1986
167;1986-11-02;Fecha 17;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-temporada-1986-87/2154/1987/30/17.html;Temporada 1986 87
168;1987-04-13;Fecha 36;River;1;Boca;1;River Plate;V;partido/river-1-boca-1-temporada-1986-87/2173/1987/30/36.html;Temporada 1986 87
169;1987-11-22;Fecha 15;River;3;Boca;2;River Plate;V;partido/river-3-boca-2-temporada-1987-88/2196/1988/32/15.html;Temporada 1987 88
170;1988-04-30;Fecha 34;Boca;2;River;2;Boca Juniors;L;partido/boca-2-river-2-temporada-1987-88/2215/1988/32/34.html;Temporada 1987 88
171;1988-09-18;Fecha 2;River;0;Boca;2;River Plate;V;partido/river-0-boca-2-temporada-1988-89/2232/1989/34/2.html;Temporada 1988 89
172;1989-02-05;Fecha 21;Boca;0 (3);River;0 (4);Boca Juniors;L;partido/boca-0-3-river-0-4-temporada-1988-89/2251/1989/34/21.html;Temporada 1988 89
173;1989-07-19;Final de Perdedores. Partido de Ida;River;0;Boca;0;River Plate;V;partido/river-0-boca-0-liguilla-1988-89/2275/1989/35/7.html;Liguilla 1988 89
174;1989-07-24;Final de Perdedores. Partido de Vuelta;Boca;0;River;0;Boca Juniors;L;partido/boca-0-river-0-liguilla-1988-89/2276/1989/35/8.html;Liguilla 1988 89
175;1989-07-27;Final de Perdedores. Desempate;Boca;1;River;2;Vélez Sársfield;N;partido/boca-1-river-2-liguilla-1988-89/2277/1989/35/9.html;Liguilla 1988 89
176;1989-09-06;Fecha 2;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-temporada-1989-90/2295/1990/36/3.html;Temporada 1989 90
177;1990-02-02;Fecha 21;River;1;Boca;1;River Plate;V;partido/river-1-boca-1-temporada-1989-90/2313/1990/36/20.html;Temporada 1989 90
178;1990-09-23;Fecha 6;River;2.0;Boca;0.0;River Plate;V;partido/river-2-boca-0-torneo-apertura-1990/2340/1990/41/6.html;Torneo Apertura 1990
179;1991-02-27;Primera Fase. Partido 1;Boca;4;River;3;Boca Juniors;L;partido/boca-4-river-3-copa-libertadores-1991/2403/1991/107/1.html;Libertadores 1991
180;1991-03-20;Primera Fase. Partido 4;River;0;Boca;2;River Plate;V;partido/river-0-boca-2-copa-libertadores-1991/2406/1991/107/4.html;Libertadores 1991
181;1991-03-31;Fecha 6;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-torneo-clausura-1991/2389/1991/42/6.html;Torneo Clausura 1991
182;1991-11-10;Fecha 11;Boca;0;River;0;Boca Juniors;L;partido/boca-0-river-0-torneo-apertura-1991/2375/1991/41/11.html;Torneo Apertura 1991
183;1992-05-03;Fecha 11;River;2;Boca;2;River Plate;V;partido/river-2-boca-2-torneo-clausura-1992/2448/1992/42/11.html;Torneo Clausura 1992
184;1992-10-11;Fecha 10;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-torneo-apertura-1992/2428/1992/41/10.html;Torneo Apertura 1992
185;1993-04-11;Fecha 10;River;0;Boca;2;River Plate;V;partido/river-0-boca-2-torneo-clausura-1993/2489/1993/42/10.html;Torneo Clausura 1993
186;1993-07-03;Primera Fase. Partido de Ida;Boca;0;River;0;Boca Juniors;L;partido/boca-0-river-0-copa-centenario-1993/3122/1993/91/1.html;Copa Centenario 1993
187;1993-07-18;Primera Fase. Partido de Vuelta;River;1;Boca;0;Vélez Sársfield;V;partido/river-1-boca-0-copa-centenario-1993/3123/1993/91/2.html;Copa Centenario 1993
188;1993-10-17;Fecha 6;River;0;Boca;1;River Plate;V;partido/river-0-boca-1-torneo-apertura-1993/2466/1993/41/6.html;Torneo Apertura 1993
189;1994-04-30;Fecha 6;Boca;0;River;2;Boca Juniors;L;partido/boca-0-river-2-torneo-clausura-1994/2529/1994/42/6.html;Torneo Clausura 1994
190;1994-10-06;Cuartos de final. Partido de Ida;River;0;Boca;0;River Plate;V;partido/river-0-boca-0-supercopa-1994/2551/1994/202/3.html;Supercopa 1994
191;1994-10-13;Cuartos de final. Partido de Vuelta;Boca;1 (5);River;1 (4);Boca Juniors;L;partido/boca-1-5-river-1-4-supercopa-1994/2552/1994/202/4.html;Supercopa 1994
192;1994-12-11;Fecha 18;Boca;0;River;3;Boca Juniors;L;partido/boca-0-river-3-torneo-apertura-1994/2521/1994/41/17.html;Torneo Apertura 1994
193;1995-06-18;Fecha 18;River;2;Boca;4;River Plate;V;partido/river-2-boca-4-torneo-clausura-1995/2593/1995/42/18.html;Torneo Clausura 1995
194;1995-11-26;Fecha 16;River;0;Boca;0;River Plate;V;partido/river-0-boca-0-torneo-apertura-1995/2572/1995/41/16.html;Torneo Apertura 1995
195;1996-07-14;Fecha 16;Boca;4;River;1;Boca Juniors;L;partido/boca-4-river-1-torneo-clausura-1996/2633/1996/42/16.html;Torneo Clausura 1996
196;1996-09-29;Fecha 6;Boca;3;River;2;Boca Juniors;L;partido/boca-3-river-2-torneo-apertura-1996/2604/1996/41/6.html;Torneo Apertura 1996
197;1997-03-23;Fecha 6;River;3;Boca;3;River Plate;V;partido/river-3-boca-3-torneo-clausura-1997/2667/1997/42/6.html;Torneo Clausura 1997
198;1997-10-25;Fecha 10;River;1;Boca;2;River Plate;V;partido/river-1-boca-2-torneo-apertura-1997/2652/1997/41/10.html;Torneo Apertura 1997
199;1998-04-11;Fecha 10;Boca;3;River;2;Boca Juniors;L;partido/boca-3-river-2-torneo-clausura-1998/2715/1998/42/10.html;Torneo Clausura 1998
200;1998-10-25;Fecha 12;River;0;Boca;0;River Plate;V;partido/river-0-boca-0-torneo-apertura-1998/2698/1998/41/12.html;Torneo Apertura 1998
201;1999-05-09;Fecha 12;Boca;2;River;1;Boca Juniors;L;partido/boca-2-river-1-torneo-clausura-1999/2763/1999/42/12.html;Torneo Clausura 1999
202;1999-10-17;Fecha 11;River;2;Boca;0;River Plate;V;partido/river-2-boca-0-torneo-apertura-1999/2743/1999/41/11.html;Torneo Apertura 1999
203;2000-05-14;Fecha 11;Boca;1;River;1;Boca Juniors;L;partido/boca-1-river-1-torneo-clausura-2000/2806/2000/42/11.html;Torneo Clausura 2000
204;2000-05-17;Cuartos de Final. Partido de Ida;River;2;Boca;1;River Plate;V;partido/river-2-boca-1-copa-libertadores-2000/2824/2000/109/9.html;Libertadores 2000
205;2000-05-24;Cuartos de Final. Partido de Vuelta;Boca;3;River;0;Boca Juniors;L;partido/boca-3-river-0-copa-libertadores-2000/2825/2000/109/10.html;Libertadores 2000
206;2000-10-15;Fecha 10;River;1;Boca;1;River Plate;V;partido/river-1-boca-1-torneo-apertura-2000/2787/2000/41/11.html;Torneo Apertura 2000
207;2001-04-08;Fecha 10;Boca;3;River;0;Boca Juniors;L;partido/boca-3-river-0-torneo-clausura-2001/2867/2001/42/10.html;Torneo Clausura 2001
208;2001-09-16;Fecha 6;River;1;Boca;1;River Plate;V;partido/river-1-boca-1-torneo-apertura-2001/2844/2001/41/6.html;Torneo Apertura 2001
209;2002-03-10;Fecha 6;Boca;0;River;3;Boca Juniors;L;partido/boca-0-river-3-torneo-clausura-2002/2922/2002/42/6.html;Torneo Clausura 2002
210;2002-10-27;Fecha 14;River;1;Boca;2;River Plate;V;partido/river-1-boca-2-torneo-apertura-2002/2911/2002/41/14.html;Torneo Apertura 2002
