;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
1313;2004-01-30;Torneo de Verano. Partido 4;Boca;0;San Lorenzo;1;Malvinas Argentinas (Mendoza);N;partido/boca-0-san-lorenzo-1-amistosos-2004/3475/2004/2001/4.html;Amistosos 2004
1314;2004-02-04;Copa Revancha;Boca;1;River;3;Malvinas Argentinas (Mendoza);N;partido/boca-1-river-3-amistosos-2004/3476/2004/2001/5.html;Amistosos 2004
1315;2004-07-18;Amistoso;Boca;1;Guadalajara (Méx);1;Memorial Coliseum (Los Angeles);N;partido/boca-1-guadalajara-mex-1-amistosos-2004/3477/2004/2001/6.html;Amistosos 2004
1316;2004-07-21;Amistoso;Boca;1 (1);Guadalajara (Méx);1 (4);Ivesco Field (Denver);N;partido/boca-1-1-guadalajara-mex-1-4-amistosos-2004/3478/2004/2001/7.html;Amistosos 2004
1317;2004-07-23;Amistoso;Boca;3;América (Méx);1;SBC Park (San Francisco);N;partido/boca-3-america-mex-1-amistosos-2004/3479/2004/2001/8.html;Amistosos 2004
1318;2004-07-27;Amistoso;Albirex Niigata (Jap);2;Boca;1;Big Swan;V;partido/albirex-niigata-jap-2-boca-1-amistosos-2004/3480/2004/2001/9.html;Amistosos 2004
1319;2004-08-03;Vodafone Cup. Partido 1;Boca;5;Urawa Red D. (Japón);2;Old Trafford (Manchester);N;partido/boca-5-urawa-red-d-japon-2-amistosos-2004/3481/2004/2001/10.html;Amistosos 2004
1320;2004-08-05;Vodafone Cup. Partido 2;Boca;1;PSV (Holanda);0;Old Trafford (Manchester);N;partido/boca-1-psv-holanda-0-amistosos-2004/3482/2004/2001/11.html;Amistosos 2004
1321;2005-01-14;Torneo de Verano. Partido 1;Boca;1;Racing;1;José M. Minella (Mar del Plata);N;partido/boca-1-racing-1-amistosos-2005/3460/2005/2000/1.html;Amistosos 2005
1322;2005-01-18;Torneo de Verano. Partido 2;Boca;2;Independiente;0;Padre Ernesto Martearena (Salta);N;partido/boca-2-independiente-0-amistosos-2005/3461/2005/2000/2.html;Amistosos 2005
1323;2005-01-22;Torneo de Verano. Partido 3;Boca;0;River;0;José M. Minella (Mar del Plata);N;partido/boca-0-river-0-amistosos-2005/3462/2005/2000/3.html;Amistosos 2005
1324;2005-01-27;Torneo de Verano. Partido 4;Boca;0;San Lorenzo;1;José M. Minella (Mar del Plata);N;partido/boca-0-san-lorenzo-1-amistosos-2005/3463/2005/2000/4.html;Amistosos 2005
1325;2005-01-30;Copa Revancha;Boca;2;River;0;Malvinas Argentinas (Mendoza);N;partido/boca-2-river-0-amistosos-2005/3464/2005/2000/5.html;Amistosos 2005
1326;2005-07-16;Copa de la Paz. Partido 1;Boca;2;Tottenham Hotspur;2;Big Bird (Suwon);N;partido/boca-2-tottenham-hotspur-2-amistosos-2005/3465/2005/2000/6.html;Amistosos 2005
1327;2005-07-18;Copa de la Paz. Partido 2;Boca;0;Real Sociedad;0;Asiad (Busan);N;partido/boca-0-real-sociedad-0-amistosos-2005/3466/2005/2000/7.html;Amistosos 2005
1328;2005-07-21;Copa de la Paz. Partido 3;Boca;3;Sundowns (Sudáfrica);1;Guus Hiddink (Gwangju);N;partido/boca-3-sundowns-sudafrica-1-amistosos-2005/3467/2005/2000/8.html;Amistosos 2005
1329;2005-07-27;Amistoso;Seul FC (Corea);1;Boca;2;Sang-Am World Cup Stadium (Seúl);V;partido/seul-fc-corea-1-boca-2-amistosos-2005/3468/2005/2000/9.html;Amistosos 2005
1330;2005-07-29;Copa Amsterdam. Partido 1;Boca;0;Porto (Portugal);2;Amsterdam Arena;N;partido/boca-0-porto-portugal-2-amistosos-2005/3469/2005/2000/10.html;Amistosos 2005
1331;2005-07-31;Copa Amsterdam. Partido 2;Ajax (Holanda);0;Boca;1;Amsterdam Arena;V;partido/ajax-holanda-0-boca-1-amistosos-2005/3470/2005/2000/11.html;Amistosos 2005
1332;2005-09-02;Amistoso;Millonarios (Col.);2;Boca;1;El Campín (Bogotá);V;partido/millonarios-col-2-boca-1-amistosos-2005/3471/2005/2000/12.html;Amistosos 2005
1333;2006-01-10;Torneo de Verano. Partido 1;Boca;1;Racing;1;Padre Ernesto Martearena (Salta);N;partido/boca-1-racing-1-amistosos-2006/3623/2006/2106/1.html;Amistosos 2006
1334;2006-01-14;Torneo de Verano. Partido 2;Boca;3;River;2;José M. Minella (Mar del Plata);N;partido/boca-3-river-2-amistosos-2006/4113/2006/2106/2.html;Amistosos 2006
1335;2006-01-17;Copa Desafío;Boca;0;River;3;Padre Ernesto Martearena (Salta);N;partido/boca-0-river-3-amistosos-2006/4115/2006/2106/3.html;Amistosos 2006
1336;2006-01-20;Torneo de Verano. Partido 3;Boca;0;Independiente;0;José M. Minella (Mar del Plata);N;partido/boca-0-independiente-0-amistosos-2006/4116/2006/2106/4.html;Amistosos 2006
1337;2006-01-22;Torneo de Verano. Partido 4;Boca;2;San Lorenzo;0;José M. Minella (Mar del Plata);N;partido/boca-2-san-lorenzo-0-amistosos-2006/4117/2006/2106/5.html;Amistosos 2006
1338;2006-05-17;Gira por Centroamérica;Olimpia (Honduras);2;Boca;1;Olímpico (San Pedro Sula);V;partido/olimpia-honduras-2-boca-1-amistosos-2006/5209/2006/2106/6.html;Amistosos 2006
1339;2006-05-18;Amistoso;Maccabi (Israel);0;Boca;1;Bloomfield (Lafo, Israel);V;partido/maccabi-israel-0-boca-1-amistosos-2006/5210/2006/2106/7.html;Amistosos 2006
1340;2006-05-20;Gira por Centroamérica;FAS (El Salvador);2;Boca;2;Cuscatlán (San Salvador);V;partido/fas-el-salvador-2-boca-2-amistosos-2006/5211/2006/2106/8.html;Amistosos 2006
1341;2006-07-12;Amistoso;San Martín (Tuc);1;Boca;0;San Martín (Tucumán);V;partido/san-martin-tuc-1-boca-0-amistosos-2006/5212/2006/2106/9.html;Amistosos 2006
1342;2006-07-16;Amistoso;Godoy Cruz (Mza.);0;Boca;1;Malvinas Argentinas (Mendoza);V;partido/godoy-cruz-mza-0-boca-1-amistosos-2006/5213/2006/2106/10.html;Amistosos 2006
1343;2006-07-23;Gira por México;Cruz Azul (Méx);2 (2);Boca;2 (4);Cuauhtémoc (Puebla);V;partido/cruz-azul-mex-2-2-boca-2-4-amistosos-2006/5215/2006/2106/11.html;Amistosos 2006
1344;2006-07-27;Gira por México;Atlas (México);3 (3);Boca;3 (1);Jalisco (Guadalajara);V;partido/atlas-mexico-3-3-boca-3-1-amistosos-2006/5221/2006/2106/12.html;Amistosos 2006
1345;2006-07-29;Gira por México;Tigres (México);1;Boca;6;Universitario (Monterrey);V;partido/tigres-mexico-1-boca-6-amistosos-2006/5222/2006/2106/13.html;Amistosos 2006
1346;2007-01-15;Torneo de Verano. Partido 1;Boca;0;Independiente;1;Padre Ernesto Martearena (Salta);N;partido/boca-0-independiente-1-amistosos-2007/5476/2007/2107/1.html;Amistosos 2007
1347;2007-01-20;Torneo de Verano. Partido 2;Boca;0;River;2;José M. Minella (Mar del Plata);N;partido/boca-0-river-2-amistosos-2007/5477/2007/2107/2.html;Amistosos 2007
1348;2007-01-24;Torneo de Verano. Partido 3;Boca;2;San Lorenzo;0;José M. Minella (Mar del Plata);N;partido/boca-2-san-lorenzo-0-amistosos-2007/5478/2007/2107/3.html;Amistosos 2007
1349;2007-01-27;Torneo de Verano. Partido 4;Boca;3;Racing;1;José M. Minella (Mar del Plata);N;partido/boca-3-racing-1-amistosos-2007/5479/2007/2107/4.html;Amistosos 2007
1350;2007-02-01;Copa Revancha;Boca;1 (5);River;1 (6);Malvinas Argentinas (Mendoza);N;partido/boca-1-5-river-1-6-amistosos-2007/5480/2007/2107/5.html;Amistosos 2007
1351;2007-02-04;Amistoso;Brown (Pto. Madryn);0;Boca;4;Raúl Conti (Pto. Madryn);V;partido/brown-pto-madryn-0-boca-4-amistosos-2007/5481/2007/2107/6.html;Amistosos 2007
1352;2007-07-16;Copa Panamericana. Partido 1;Boca;2;Alianza Lima (P);0;Universidad (Phoenix);N;partido/boca-2-alianza-lima-p-0-amistosos-2007/5521/2007/2107/7.html;Amistosos 2007
1353;2007-07-20;Copa Panamericana. Partido 2;Boca;1;América (Méx);0;Universidad (Phoenix);N;partido/boca-1-america-mex-0-amistosos-2007/5522/2007/2107/8.html;Amistosos 2007
1354;2007-07-22;Copa Panamericana. Final;Boca;1;Cruz Azul (Méx);3;Universidad (Phoenix);N;partido/boca-1-cruz-azul-mex-3-amistosos-2007/5523/2007/2107/9.html;Amistosos 2007
1355;2007-07-24;Amistoso;R. Salt Lake (EEUU);1;Boca;1;Rice Eccles (Salt Lake City);V;partido/r-salt-lake-eeuu-1-boca-1-amistosos-2007/5524/2007/2107/10.html;Amistosos 2007
1356;2007-07-28;Amistoso;Boca;2;Sel. de Haití;0;Orange Bowl (Miami);N;partido/boca-2-sel-de-haiti-0-amistosos-2007/5525/2007/2107/11.html;Amistosos 2007
1357;2008-01-15;Torneo de Verano. Partido 1;Boca;1;Independiente;2;José M. Minella (Mar del Plata);N;partido/boca-1-independiente-2-amistosos-2008/5561/2008/2108/1.html;Amistosos 2008
