;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
2335;1964-05-03;Fecha 2;San Lorenzo;1;Boca;1;San Lorenzo de Almagro;V;partido/san-lorenzo-1-boca-1-campeonato-1964/1042/1964/5/2.html;Campeonato 1964
2336;1964-05-10;Fecha 3;Boca;3;Vélez;1;Boca Juniors;L;partido/boca-3-velez-1-campeonato-1964/1043/1964/5/3.html;Campeonato 1964
2337;1964-05-17;Fecha 4;R. Central;2;Boca;2;Rosario Central;V;partido/r-central-2-boca-2-campeonato-1964/1044/1964/5/4.html;Campeonato 1964
2338;1964-05-24;Fecha 5;Boca;3;Racing;1;Boca Juniors;L;partido/boca-3-racing-1-campeonato-1964/1045/1964/5/5.html;Campeonato 1964
2339;1964-06-14;Fecha 6;Estudiantes (LP);0;Boca;1;Estudiantes (La Plata);V;partido/estudiantes-lp-0-boca-1-campeonato-1964/1046/1964/5/6.html;Campeonato 1964
2340;1964-06-21;Fecha 7;Boca;2;Banfield;0;Boca Juniors;L;partido/boca-2-banfield-0-campeonato-1964/1047/1964/5/7.html;Campeonato 1964
2341;1964-06-28;Fecha 8;Argentinos;0;Boca;0;Atlanta;V;partido/argentinos-0-boca-0-campeonato-1964/1048/1964/5/8.html;Campeonato 1964
2342;1964-07-05;Fecha 9;Boca;1;Huracán;0;Boca Juniors;L;partido/boca-1-huracan-0-campeonato-1964/1049/1964/5/9.html;Campeonato 1964
2343;1964-07-19;Fecha 10;Ferro;0;Boca;1;Atlanta;V;partido/ferro-0-boca-1-campeonato-1964/1050/1964/5/10.html;Campeonato 1964
2344;1964-07-26;Fecha 11;Boca;0;Newell´s;0;Boca Juniors;L;partido/boca-0-newell_s-0-campeonato-1964/1051/1964/5/11.html;Campeonato 1964
2345;1964-08-02;Fecha 12;Independiente;1;Boca;1;Independiente;V;partido/independiente-1-boca-1-campeonato-1964/1052/1964/5/12.html;Campeonato 1964
2346;1964-08-05;Fecha 15;Chacarita;0;Boca;0;Atlanta;V;partido/chacarita-0-boca-0-campeonato-1964/1053/1964/5/13.html;Campeonato 1964
2347;1964-08-09;Fecha 13;Boca;1;Gimnasia (LP);0;Boca Juniors;L;partido/boca-1-gimnasia-lp-0-campeonato-1964/1054/1964/5/14.html;Campeonato 1964
2348;1964-08-11;Fecha 16;Atlanta;0;Boca;2;Atlanta;V;partido/atlanta-0-boca-2-campeonato-1964/1055/1964/5/15.html;Campeonato 1964
2349;1964-08-16;Fecha 14;River;0;Boca;0;River Plate;V;partido/river-0-boca-0-campeonato-1964/1056/1964/5/16.html;Campeonato 1964
2350;1964-09-05;Fecha 17;Boca;3;San Lorenzo;0;Boca Juniors;L;partido/boca-3-san-lorenzo-0-campeonato-1964/1057/1964/5/17.html;Campeonato 1964
2351;1964-09-13;Fecha 18;Vélez;0;Boca;1;Vélez Sársfield;V;partido/velez-0-boca-1-campeonato-1964/1058/1964/5/18.html;Campeonato 1964
2352;1964-09-20;Fecha 19;Boca;1;R. Central;0;Boca Juniors;L;partido/boca-1-r-central-0-campeonato-1964/1059/1964/5/19.html;Campeonato 1964
