;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
379;1942-12-07;Amistoso;Boca;2;Racing;2;San Lorenzo de Almagro;N;partido/boca-2-racing-2-amistosos-1942/4230/1942/2942/18.html;Amistosos 1942
380;1942-12-12;Amistoso;Liga Confluencia;2;Boca;7;Cipolletti (Río Negro);V;partido/liga-confluencia-2-boca-7-amistosos-1942/4231/1942/2942/19.html;Amistosos 1942
381;1942-12-13;Amistoso;Liga Confluencia;0;Boca;5;Cipolletti (Río Negro);V;partido/liga-confluencia-0-boca-5-amistosos-1942/4232/1942/2942/20.html;Amistosos 1942
382;1942-12-17;Amistoso;Comb. Liga del Sud;2;Boca;5;Olimpo (Bahía Blanca);V;partido/comb-liga-del-sud-2-boca-5-amistosos-1942/4233/1942/2942/21.html;Amistosos 1942
383;1942-12-19;Amistoso;Comb. Liga del Sud;2;Boca;2;Olimpo (Bahía Blanca);V;partido/comb-liga-del-sud-2-boca-2-amistosos-1942/4234/1942/2942/22.html;Amistosos 1942
384;1943-01-16;Campeonato Rioplatense;Boca;1;Nacional (Uru);1;San Lorenzo de Almagro;L;partido/boca-1-nacional-uru-1-amistosos-1943/4152/1943/2943/1.html;Amistosos 1943
385;1943-01-26;Campeonato Rioplatense;Boca;3;Huracán;0;San Lorenzo de Almagro;N;partido/boca-3-huracan-0-amistosos-1943/4236/1943/2943/2.html;Amistosos 1943
386;1943-01-30;Campeonato Rioplatense;Peñarol (Uru);0;Boca;1;Centenario (Montevideo);V;partido/penarol-uru-0-boca-1-amistosos-1943/4237/1943/2943/3.html;Amistosos 1943
387;1943-02-09;Campeonato Rioplatense;Boca;4;Racing;0;San Lorenzo de Almagro;N;partido/boca-4-racing-0-amistosos-1943/4238/1943/2943/4.html;Amistosos 1943
388;1943-02-13;Campeonato Rioplatense;Newell´s;2;Boca;1;Rosario Central;V;partido/newell_s-2-boca-1-amistosos-1943/4177/1943/2943/5.html;Amistosos 1943
389;1943-02-24;Campeonato Rioplatense;San Lorenzo;1;Boca;4;San Lorenzo de Almagro;V;partido/san-lorenzo-1-boca-4-amistosos-1943/4239/1943/2943/6.html;Amistosos 1943
390;1943-03-02;Campeonato Rioplatense;Boca;1;Independiente;2;San Lorenzo de Almagro;N;partido/boca-1-independiente-2-amistosos-1943/5434/1943/2943/7.html;Amistosos 1943
391;1943-03-18;Amistoso;Gimnasia (Mza);1;Boca;9;Gimnasia y Esgrima (Mendoza);V;partido/gimnasia-mza-1-boca-9-amistosos-1943/4240/1943/2943/8.html;Amistosos 1943
392;1943-03-20;Amistoso;Gimnasia (Mza);2;Boca;6;Gimnasia y Esgrima (Mendoza);V;partido/gimnasia-mza-2-boca-6-amistosos-1943/4241/1943/2943/9.html;Amistosos 1943
393;1943-03-28;Amistoso;R. Central;2;Boca;0;Rosario Central;V;partido/r-central-2-boca-0-amistosos-1943/4242/1943/2943/10.html;Amistosos 1943
394;1943-04-03;Amistoso;Boca;4;Independiente;4;Boca Juniors;L;partido/boca-4-independiente-4-amistosos-1943/4243/1943/2943/11.html;Amistosos 1943
395;1943-04-11;Amistoso;Boca;4;Racing;2;San Lorenzo de Almagro;N;partido/boca-4-racing-2-amistosos-1943/4244/1943/2943/12.html;Amistosos 1943
396;1943-04-14;Amistoso;Boca;4;Argentinos;4;Boca Juniors;L;partido/boca-4-argentinos-4-amistosos-1943/4245/1943/2943/13.html;Amistosos 1943
397;1943-05-18;Amistoso;Peñarol (Uru);6;Boca;0;Centenario (Montevideo);V;partido/penarol-uru-6-boca-0-amistosos-1943/4246/1943/2943/14.html;Amistosos 1943
398;1943-07-09;Amistoso;Comb. Chaco;1;Boca;9;Chaco For Ever;V;partido/comb-chaco-1-boca-9-amistosos-1943/3903/1943/2943/15.html;Amistosos 1943
399;1943-07-11;Amistoso;Liga Corrientes;1;Boca;5;Huracán (Corrientes);V;partido/liga-corrientes-1-boca-5-amistosos-1943/3904/1943/2943/16.html;Amistosos 1943
400;1943-08-17;Amistoso;Comb. San Nicolás;1;Boca;7;Paraná (San Nicolás);V;partido/comb-san-nicolas-1-boca-7-amistosos-1943/4247/1943/2943/17.html;Amistosos 1943
401;1943-08-30;Amistoso;Belgrano (Paraná);1;Boca;3;Belgrano (Paraná);V;partido/belgrano-parana-1-boca-3-amistosos-1943/4248/1943/2943/18.html;Amistosos 1943
402;1943-12-19;Amistoso;Dep Municipal (Perú);2;Boca;1;Nacional (Lima);V;partido/dep-municipal-peru-2-boca-1-amistosos-1943/3905/1943/2943/19.html;Amistosos 1943
403;1943-12-26;Amistoso;Sport Boys (Perú);3;Boca;3;Nacional (Lima);V;partido/sport-boys-peru-3-boca-3-amistosos-1943/4249/1943/2943/20.html;Amistosos 1943
404;1944-01-03;Gira por América;Universitario (P);2;Boca;3;Nacional (Lima);V;partido/universitario-p-2-boca-3-amistosos-1944/4738/1944/2944/1.html;Amistosos 1944
405;1944-01-09;Gira por América;Alfonso Ugarte;0;Boca;3;Nacional (Lima);V;partido/alfonso-ugarte-0-boca-3-amistosos-1944/4739/1944/2944/2.html;Amistosos 1944
406;1944-01-16;Gira por América;Dep Municipal (Perú);2;Boca;2;Nacional (Lima);V;partido/dep-municipal-peru-2-boca-2-amistosos-1944/4740/1944/2944/3.html;Amistosos 1944
407;1944-01-23;Gira por América;Everton (Chile);2;Boca;4;Municipal (Valparaíso);V;partido/everton-chile-2-boca-4-amistosos-1944/4741/1944/2944/4.html;Amistosos 1944
408;1944-01-29;Gira por América;Colo Colo (Chi);1;Boca;2;Nacional (Santiago);V;partido/colo-colo-chi-1-boca-2-amistosos-1944/3906/1944/2944/5.html;Amistosos 1944
409;1944-02-01;Gira por América;Colo Colo (Chi);1;Boca;1;Nacional (Santiago);V;partido/colo-colo-chi-1-boca-1-amistosos-1944/3907/1944/2944/6.html;Amistosos 1944
410;1944-03-12;Amistoso;Boca;2;Atlanta;2;Boca Juniors;L;partido/boca-2-atlanta-2-amistosos-1944/4742/1944/2944/7.html;Amistosos 1944
411;1944-03-18;Amistoso;Talleres (Cba);1;Boca;2;Talleres (Córdoba);V;partido/talleres-cba-1-boca-2-amistosos-1944/4743/1944/2944/8.html;Amistosos 1944
412;1944-03-19;Amistoso;Belgrano (Cba);2;Boca;4;Belgrano (Córdoba);V;partido/belgrano-cba-2-boca-4-amistosos-1944/4744/1944/2944/9.html;Amistosos 1944
413;1944-03-26;Amistoso;Boca;2;San Lorenzo;3;Ferro Carril Oeste;N;partido/boca-2-san-lorenzo-3-amistosos-1944/4745/1944/2944/10.html;Amistosos 1944
414;1944-03-30;Amistoso;Boca;8;Colegiales;2;Boca Juniors;L;partido/boca-8-colegiales-2-amistosos-1944/5435/1944/2944/11.html;Amistosos 1944
415;1944-04-02;Amistoso;Boca;4;Racing;1;Ferro Carril Oeste;N;partido/boca-4-racing-1-amistosos-1944/4746/1944/2944/12.html;Amistosos 1944
416;1944-04-06;Amistoso;Boca;1;R. Central;3;Boca Juniors;L;partido/boca-1-r-central-3-amistosos-1944/4747/1944/2944/13.html;Amistosos 1944
417;1944-07-08;Amistoso;Liga San Juan;4;Boca;4;Parque de Mayo (San Juan);V;partido/liga-san-juan-4-boca-4-amistosos-1944/4748/1944/2944/14.html;Amistosos 1944
418;1944-07-09;Amistoso;Liga Mendoza;0;Boca;1;Independiente Rivadavia (Mendoza);V;partido/liga-mendoza-0-boca-1-amistosos-1944/4749/1944/2944/15.html;Amistosos 1944
419;1944-10-12;Amistoso;Talleres (Cba);7;Boca;3;Talleres (Córdoba);V;partido/talleres-cba-7-boca-3-amistosos-1944/4750/1944/2944/16.html;Amistosos 1944
420;1944-10-15;Amistoso;Belgrano (Cba);2;Boca;2;Belgrano (Córdoba);V;partido/belgrano-cba-2-boca-2-amistosos-1944/4751/1944/2944/17.html;Amistosos 1944
421;1944-12-24;Amistoso;Boca;3;Vélez;2;Boca Juniors;L;partido/boca-3-velez-2-amistosos-1944/4752/1944/2944/18.html;Amistosos 1944
422;1945-02-17;Amistoso;Comb. Mar Del Plata;2;Boca;1;Gral. San Martín (Mar del Plata);V;partido/comb-mar-del-plata-2-boca-1-amistosos-1945/4724/1945/2945/1.html;Amistosos 1945
423;1945-02-18;Amistoso;Comb. Mar Del Plata;2;Boca;5;Gral. San Martín (Mar del Plata);V;partido/comb-mar-del-plata-2-boca-5-amistosos-1945/4725/1945/2945/2.html;Amistosos 1945
424;1945-02-25;Amistoso;Boca;3;Chacarita;4;Boca Juniors;L;partido/boca-3-chacarita-4-amistosos-1945/4726/1945/2945/3.html;Amistosos 1945
425;1945-03-04;Amistoso;Boca;0;Defensor (Uru);0;Boca Juniors;L;partido/boca-0-defensor-uru-0-amistosos-1945/4727/1945/2945/4.html;Amistosos 1945
426;1945-03-10;Amistoso;R. Central;5;Boca;1;Rosario Central;V;partido/r-central-5-boca-1-amistosos-1945/4728/1945/2945/5.html;Amistosos 1945
427;1945-03-11;Amistoso;Unión (Sta. Fe);1;Boca;1;Unión (Santa Fe);V;partido/union-sta-fe-1-boca-1-amistosos-1945/4729/1945/2945/6.html;Amistosos 1945
428;1945-03-19;Amistoso;Boca;3;R. Central;3;Boca Juniors;L;partido/boca-3-r-central-3-amistosos-1945/4730/1945/2945/7.html;Amistosos 1945
429;1945-03-25;Amistoso;Boca;2;Huracán;2;River Plate;N;partido/boca-2-huracan-2-amistosos-1945/4731/1945/2945/8.html;Amistosos 1945
430;1945-04-01;Amistoso;Boca;3;Racing;1;San Lorenzo de Almagro;N;partido/boca-3-racing-1-amistosos-1945/4732/1945/2945/9.html;Amistosos 1945
431;1945-07-08;Amistoso;Liga de Esperanza;1;Boca;5;Liga de Esperanza (Santa Fe);V;partido/liga-de-esperanza-1-boca-5-amistosos-1945/4039/1945/2945/10.html;Amistosos 1945
432;1945-07-09;Amistoso;Comb. Paraná;2;Boca;1;Belgrano (Paraná);V;partido/comb-parana-2-boca-1-amistosos-1945/4735/1945/2945/11.html;Amistosos 1945
433;1945-08-15;Amistoso;R. Central;2;Boca;1;Rosario Central;V;partido/r-central-2-boca-1-amistosos-1945/4736/1945/2945/12.html;Amistosos 1945
434;1945-12-30;Amistoso;Comb. Mar Del Plata;6;Boca;2;Quilmes (Mar del Plata);V;partido/comb-mar-del-plata-6-boca-2-amistosos-1945/4737/1945/2945/13.html;Amistosos 1945
435;1947-01-04;Gira por Brasil;San Pablo (Bra);0;Boca;1;Pacaembú (San Pablo);V;partido/san-pablo-bra-0-boca-1-amistosos-1947/4044/1947/2947/1.html;Amistosos 1947
436;1947-01-08;Gira por Brasil;Corinthians (Bra);2;Boca;6;Pacaembú (San Pablo);V;partido/corinthians-bra-2-boca-6-amistosos-1947/4045/1947/2947/2.html;Amistosos 1947
437;1947-01-12;Gira por Brasil;Palmeiras (Bra);2;Boca;2;Pacaembú (San Pablo);V;partido/palmeiras-bra-2-boca-2-amistosos-1947/4046/1947/2947/3.html;Amistosos 1947
438;1947-01-23;Copa del Atlántico. Partido 1;Boca;2;Palmeiras (Bra);3;Centenario (Montevideo);N;partido/boca-2-palmeiras-bra-3-amistosos-1947/4706/1947/2947/4.html;Amistosos 1947
439;1947-01-30;Copa del Atlántico. Partido 2;Nacional (Uru);0;Boca;3;Centenario (Montevideo);V;partido/nacional-uru-0-boca-3-amistosos-1947/4153/1947/2947/5.html;Amistosos 1947
440;1947-02-06;Copa del Atlántico. Partido 3;Boca;3;Vasco Da Gama (Bra);1;Centenario (Montevideo);N;partido/boca-3-vasco-da-gama-bra-1-amistosos-1947/4707/1947/2947/6.html;Amistosos 1947
441;1947-02-09;Copa del Atlántico. Partido 4;Peñarol (Uru);1;Boca;2;Centenario (Montevideo);V;partido/penarol-uru-1-boca-2-amistosos-1947/4708/1947/2947/7.html;Amistosos 1947
442;1947-03-19;Amistoso;Boca;4;Nacional (Uru);4;Boca Juniors;L;partido/boca-4-nacional-uru-4-amistosos-1947/4154/1947/2947/8.html;Amistosos 1947
443;1947-03-30;Amistoso;Boca;2;Independiente;0;River Plate;N;partido/boca-2-independiente-0-amistosos-1947/4709/1947/2947/9.html;Amistosos 1947
444;1947-04-04;Amistoso;Belgrano (Cba);2;Boca;4;Belgrano (Córdoba);V;partido/belgrano-cba-2-boca-4-amistosos-1947/4710/1947/2947/10.html;Amistosos 1947
445;1947-04-06;Amistoso;Talleres (Cba);4;Boca;0;Talleres (Córdoba);V;partido/talleres-cba-4-boca-0-amistosos-1947/4711/1947/2947/11.html;Amistosos 1947
446;1947-07-09;Amistoso;Combinado (San Luis);1;Boca;7;Atlético (San Luis);V;partido/combinado-san-luis-1-boca-7-amistosos-1947/5246/1947/2947/12.html;Amistosos 1947
447;1947-07-13;Amistoso;Comb. Villa Mercedes;0;Boca;7;Sportivo Mercedes (San Luis);V;partido/comb-villa-mercedes-0-boca-7-amistosos-1947/4712/1947/2947/13.html;Amistosos 1947
448;1947-10-02;Amistoso;La Emilia;2;Boca;0;La Emilia (San Nicolás);V;partido/la-emilia-2-boca-0-amistosos-1947/4713/1947/2947/14.html;Amistosos 1947
449;1947-11-22;Amistoso;Talleres (Cba);4;Boca;1;Talleres (Córdoba);V;partido/talleres-cba-4-boca-1-amistosos-1947/4714/1947/2947/15.html;Amistosos 1947
450;1947-11-23;Amistoso;Belgrano (Cba);1;Boca;1;Belgrano (Córdoba);V;partido/belgrano-cba-1-boca-1-amistosos-1947/4715/1947/2947/16.html;Amistosos 1947
451;1947-12-08;Torneo Tres Ciudades. Partido 1;Peñarol (Uru);7;Boca;3;Centenario (Montevideo);V;partido/penarol-uru-7-boca-3-amistosos-1947/4716/1947/2947/17.html;Amistosos 1947
452;1947-12-14;Torneo Tres Ciudades. Partido 2;Boca;4;Newell´s;2;Centenario (Montevideo);N;partido/boca-4-newell_s-2-amistosos-1947/4717/1947/2947/18.html;Amistosos 1947
453;1947-12-17;Torneo Tres Ciudades. Partido 3;Boca;1;Nacional (Uru);0;Boca Juniors;L;partido/boca-1-nacional-uru-0-amistosos-1947/4155/1947/2947/19.html;Amistosos 1947
454;1947-12-20;Torneo Tres Ciudades. Partido 4;Boca;4;R. Central;1;Centenario (Montevideo);N;partido/boca-4-r-central-1-amistosos-1947/4718/1947/2947/20.html;Amistosos 1947
455;1948-01-25;Gira por Brasil;Corinthians (Bra);1;Boca;1;Pacaembú (San Pablo);V;partido/corinthians-bra-1-boca-1-amistosos-1948/4048/1948/2948/1.html;Amistosos 1948
456;1948-01-28;Gira por Brasil;San Pablo (Bra);0;Boca;1;Pacaembú (San Pablo);V;partido/san-pablo-bra-0-boca-1-amistosos-1948/4049/1948/2948/2.html;Amistosos 1948
457;1948-01-31;Gira por Brasil;Palmeiras (Bra);2;Boca;1;Pacaembú (San Pablo);V;partido/palmeiras-bra-2-boca-1-amistosos-1948/4050/1948/2948/3.html;Amistosos 1948
458;1948-03-14;Amistoso;Boca;1;Newell´s;1;San Lorenzo de Almagro;L;partido/boca-1-newell_s-1-amistosos-1948/4700/1948/2948/4.html;Amistosos 1948
459;1948-03-25;Amistoso;Boca;1;R. Central;2;Boca Juniors;L;partido/boca-1-r-central-2-amistosos-1948/4701/1948/2948/5.html;Amistosos 1948
460;1948-03-28;Amistoso;Boca;1;Racing;3;San Lorenzo de Almagro;N;partido/boca-1-racing-3-amistosos-1948/4702/1948/2948/6.html;Amistosos 1948
