;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
3667;2004-05-25;Cuartos de Final. Partido de Vuelta;Boca;1 (4);Sao Caetano (Brasil);1 (3);Racing Club;L;partido/boca-1-4-sao-caetano-brasil-1-3-copa-libertadores-2004/3052/2004/109/10.html;Libertadores 2004
3668;2004-05-29;Fecha 16;Boca;3;Arsenal;0;Boca Juniors;L;partido/boca-3-arsenal-0-torneo-clausura-2004/3039/2004/42/16.html;Torneo Clausura 2004
3669;2004-06-10;Semifinales. Partido de Ida;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-copa-libertadores-2004/3053/2004/109/11.html;Libertadores 2004
3670;2004-06-13;Fecha 17;Olimpo (B. Blanca);2;Boca;2;Olimpo (Bahía Blanca);V;partido/olimpo-b-blanca-2-boca-2-torneo-clausura-2004/3040/2004/42/17.html;Torneo Clausura 2004
3671;2004-06-17;Semifinales. Partido de Vuelta;River;2 (4);Boca;1 (5);River Plate;V;partido/river-2-4-boca-1-5-copa-libertadores-2004/3054/2004/109/12.html;Libertadores 2004
3672;2004-06-20;Fecha 18;Boca;0;Colón (Sta. Fe);0;Boca Juniors;L;partido/boca-0-colon-sta-fe-0-torneo-clausura-2004/3041/2004/42/18.html;Torneo Clausura 2004
3673;2004-06-23;Final. Partido de Ida;Boca;0;Once Caldas (Col);0;Boca Juniors;L;partido/boca-0-once-caldas-col-0-copa-libertadores-2004/3055/2004/109/13.html;Libertadores 2004
3674;2004-06-27;Fecha 19;San Lorenzo;1;Boca;0;San Lorenzo de Almagro;V;partido/san-lorenzo-1-boca-0-torneo-clausura-2004/3042/2004/42/19.html;Torneo Clausura 2004
3675;2004-07-01;Final. Partido de Vuelta;Once Caldas (Col);1 (2);Boca;1 (0);Palogrande (Manizales);V;partido/once-caldas-col-1-2-boca-1-0-copa-libertadores-2004/3056/2004/109/14.html;Libertadores 2004
3676;2004-08-15;Fecha 1;Lanús;0;Boca;0;Lanús;V;partido/lanus-0-boca-0-torneo-apertura-2004/3005/2004/41/1.html;Torneo Apertura 2004
3677;2004-08-22;Fecha 2;Boca;3;San Lorenzo;0;Boca Juniors;L;partido/boca-3-san-lorenzo-0-torneo-apertura-2004/3006/2004/41/2.html;Torneo Apertura 2004
3678;2004-08-25;Fecha 3;Olimpo (B. Blanca);0;Boca;2;Olimpo (Bahía Blanca);V;partido/olimpo-b-blanca-0-boca-2-torneo-apertura-2004/3007/2004/41/3.html;Torneo Apertura 2004
